repo,total,generated,skipped,failed
realvuln-damn-vulnerable-flask-application,5,5,0,0
realvuln-damn-vulnerable-graphql-application,2,2,0,0
realvuln-djangoat,17,0,0,0
realvuln-dsvpwa,5,0,0,0
realvuln-dsvw,10,0,0,0
realvuln-dvblab,9,0,0,0
realvuln-dvpwa,1,1,0,0
realvuln-extremely-vulnerable-flask-app,3,3,0,0
realvuln-flask-xss,2,2,0,0
realvuln-insecure-web,4,4,0,0
realvuln-lets-be-bad-guys,4,4,0,0
realvuln-python-insecure-app,2,2,0,0
realvuln-pythonssti,2,2,0,0
realvuln-threatbyte,7,6,0,1
realvuln-vfapi,2,2,0,0
realvuln-vulnerable-flask-app,4,4,0,0
realvuln-vulnerable-python-apps,1,1,0,0
realvuln-vulnpy,7,7,0,0
realvuln-vulpy,9,9,0,0
vc-claude-code-seeded-v2-crm-saas-django,12,10,0,2
vc-claude-code-seeded-v2-education-lms-django,13,13,0,0
vc-claude-code-seeded-v2-fintech-lending-fastapi,15,15,0,0
vc-claude-code-seeded-v2-healthcare-clinic-django,9,8,0,1
vc-claude-code-seeded-v2-hr-payroll-django,12,8,0,4
vc-claude-code-seeded-v2-legal-case-django,15,0,0,0
vc-claude-code-seeded-v2-support-desk-fastapi,13,11,0,2
vc-codex-high-seeded-v2-crm-saas-django,12,11,0,1
vc-codex-high-seeded-v2-education-lms-django,14,14,0,0
vc-codex-high-seeded-v2-fintech-lending-fastapi,13,0,0,0
vc-codex-high-seeded-v2-healthcare-clinic-django,1,1,0,0
