repo,total,generated,skipped,failed
realvuln-damn-vulnerable-flask-application,5,5,0,0
realvuln-damn-vulnerable-graphql-application,2,2,0,0
realvuln-dvpwa,1,1,0,0
realvuln-extremely-vulnerable-flask-app,3,3,0,0
realvuln-flask-xss,2,2,0,0
realvuln-insecure-web,4,4,0,0
realvuln-lets-be-bad-guys,4,4,0,0
realvuln-python-insecure-app,2,2,0,0
realvuln-pythonssti,2,2,0,0
realvuln-threatbyte,6,0,0,0
realvuln-vfapi,2,1,0,1
realvuln-vulnerable-flask-app,2,2,0,0
realvuln-vulnerable-python-apps,1,1,0,0
realvuln-vulnpy,6,6,0,0
vc-claude-code-seeded-v2-healthcare-clinic-django,7,0,0,0
vc-claude-code-seeded-v2-hr-payroll-django,8,8,0,0
vc-claude-code-seeded-v2-support-desk-fastapi,9,0,0,0
vc-codex-high-seeded-v2-crm-saas-django,10,9,0,1
vc-codex-high-seeded-v2-healthcare-clinic-django,1,1,0,0
