repo,selected,enriched,skipped,failed
realvuln-damn-vulnerable-flask-application,5,5,0,0
realvuln-damn-vulnerable-graphql-application,2,2,0,0
realvuln-djangoat,17,17,2,0
realvuln-dsvpwa,5,5,0,0
realvuln-dsvw,10,10,0,0
realvuln-dvblab,10,9,0,1
realvuln-dvpwa,1,1,0,0
realvuln-extremely-vulnerable-flask-app,3,3,0,0
realvuln-flask-xss,2,2,0,0
realvuln-insecure-web,4,4,0,0
realvuln-intentionally-vulnerable-python-application,0,0,0,0
realvuln-lets-be-bad-guys,4,4,0,0
realvuln-python-insecure-app,2,2,0,0
realvuln-pythonssti,2,2,0,0
realvuln-threatbyte,7,7,3,0
realvuln-vampi,0,0,3,0
realvuln-vfapi,2,2,0,0
realvuln-vulnerable-flask-app,4,4,1,0
realvuln-vulnerable-python-apps,2,1,3,1
realvuln-vulnerable-tornado-app,4,0,0,4
realvuln-vulnpy,8,7,1,1
realvuln-vulpy,15,9,2,6
vc-claude-code-seeded-v2-crm-saas-django,12,12,0,0
vc-claude-code-seeded-v2-education-lms-django,13,13,2,0
vc-claude-code-seeded-v2-fintech-lending-fastapi,15,15,6,0
vc-claude-code-seeded-v2-healthcare-clinic-django,9,9,3,0
vc-claude-code-seeded-v2-hr-payroll-django,12,12,0,0
vc-claude-code-seeded-v2-legal-case-django,15,15,0,0
vc-claude-code-seeded-v2-logistics-dispatch-fastapi,0,0,0,0
vc-claude-code-seeded-v2-marketplace-commerce-fastapi,0,0,0,0
vc-claude-code-seeded-v2-property-management-fastapi,0,0,0,0
vc-claude-code-seeded-v2-support-desk-fastapi,13,13,1,0
vc-codex-high-seeded-v2-crm-saas-django,12,12,0,0
vc-codex-high-seeded-v2-education-lms-django,14,14,0,0
vc-codex-high-seeded-v2-fintech-lending-fastapi,13,13,1,0
vc-codex-high-seeded-v2-healthcare-clinic-django,1,1,8,0
vc-codex-high-seeded-v2-hr-payroll-django,0,0,14,0
vc-codex-high-seeded-v2-legal-case-django,0,0,12,0
vc-codex-high-seeded-v2-logistics-dispatch-fastapi,0,0,18,0
vc-codex-high-seeded-v2-marketplace-commerce-fastapi,0,0,0,0
vc-codex-high-seeded-v2-property-management-fastapi,0,0,0,0
vc-codex-high-seeded-v2-support-desk-fastapi,0,0,18,0
vc-codex-seeded-v2-crm-saas-django,0,0,13,0
vc-codex-seeded-v2-education-lms-django,0,0,8,0
vc-codex-seeded-v2-fintech-lending-fastapi,0,0,14,0
vc-codex-seeded-v2-healthcare-clinic-django,0,0,13,0
vc-codex-seeded-v2-hr-payroll-django,0,0,17,0
vc-codex-seeded-v2-legal-case-django,0,0,12,0
vc-codex-seeded-v2-logistics-dispatch-fastapi,0,0,14,0
vc-codex-seeded-v2-marketplace-commerce-fastapi,0,0,16,0
vc-codex-seeded-v2-property-management-fastapi,0,0,16,0
vc-codex-seeded-v2-support-desk-fastapi,0,0,10,0
vc-kimi-code-seeded-v2-crm-saas-django,0,0,13,0
vc-kimi-code-seeded-v2-education-lms-django,0,0,11,0
vc-kimi-code-seeded-v2-fintech-lending-fastapi,0,0,13,0
vc-kimi-code-seeded-v2-healthcare-clinic-django,0,0,11,0
vc-kimi-code-seeded-v2-hr-payroll-django,0,0,17,0
vc-kimi-code-seeded-v2-legal-case-django,0,0,11,0
vc-kimi-code-seeded-v2-logistics-dispatch-fastapi,0,0,17,0
vc-kimi-code-seeded-v2-marketplace-commerce-fastapi,0,0,0,0
vc-kimi-code-seeded-v2-property-management-fastapi,0,0,14,0
vc-kimi-code-seeded-v2-support-desk-fastapi,0,0,10,0
