repo,total,generated,skipped,failed
realvuln-damn-vulnerable-flask-application,5,5,0,0
realvuln-damn-vulnerable-graphql-application,2,2,0,0
realvuln-dvpwa,1,1,0,0
realvuln-extremely-vulnerable-flask-app,3,3,0,0
realvuln-flask-xss,2,2,0,0
realvuln-insecure-web,4,4,0,0
realvuln-lets-be-bad-guys,4,4,0,0
realvuln-python-insecure-app,2,2,0,0
realvuln-pythonssti,2,2,0,0
realvuln-threatbyte,6,6,0,1
realvuln-vfapi,2,2,0,0
realvuln-vulnerable-flask-app,4,2,0,2
realvuln-vulnerable-python-apps,1,1,0,0
realvuln-vulnpy,7,6,0,1
realvuln-vulpy,9,0,0,0
vc-claude-code-seeded-v2-crm-saas-django,10,0,0,0
vc-claude-code-seeded-v2-education-lms-django,13,0,0,0
vc-claude-code-seeded-v2-fintech-lending-fastapi,15,0,0,0
vc-claude-code-seeded-v2-healthcare-clinic-django,8,7,0,2
vc-claude-code-seeded-v2-hr-payroll-django,8,8,0,4
vc-claude-code-seeded-v2-support-desk-fastapi,11,9,0,4
vc-codex-high-seeded-v2-crm-saas-django,11,10,0,2
vc-codex-high-seeded-v2-education-lms-django,14,0,0,0
vc-codex-high-seeded-v2-healthcare-clinic-django,1,1,0,0
