repo,finding_id,compile,smoke
benchmark-python,py_code_injection_testcode_BenchmarkTest00073_py_54,Y,CRASH
benchmark-python,py_code_injection_testcode_BenchmarkTest00156_py_44,Y,CRASH
benchmark-python,py_code_injection_testcode_BenchmarkTest00158_py_56,Y,CRASH
benchmark-python,py_code_injection_testcode_BenchmarkTest00159_py_45,Y,CRASH
benchmark-python,py_command_line_injection_testcode_BenchmarkTest00165_py_57,Y,CRASH
benchmark-python,py_command_line_injection_testcode_BenchmarkTest00167_py_53,Y,CRASH
benchmark-python,py_command_line_injection_testcode_BenchmarkTest00168_py_60,Y,CRASH
benchmark-python,py_command_line_injection_testcode_BenchmarkTest00267_py_55,Y,CRASH
benchmark-python,py_path_injection_testcode_BenchmarkTest00001_py_47,Y,CRASH
benchmark-python,py_path_injection_testcode_BenchmarkTest00002_py_49,Y,CRASH
benchmark-python,py_path_injection_testcode_BenchmarkTest00005_py_60,Y,CRASH
benchmark-python,py_reflective_xss_testcode_BenchmarkTest00150_py_44,Y,CRASH
benchmark-python,py_reflective_xss_testcode_BenchmarkTest00256_py_48,Y,CRASH
benchmark-python,py_reflective_xss_testcode_BenchmarkTest00257_py_44,Y,CRASH
benchmark-python,py_reflective_xss_testcode_BenchmarkTest00591_py_48,Y,CRASH
benchmark-python,py_reflective_xss_testcode_BenchmarkTest01083_py_45,Y,CRASH
benchmark-python,py_unsafe_deserialization_testcode_BenchmarkTest00078_py_53,Y,CRASH
benchmark-python,py_unsafe_deserialization_testcode_BenchmarkTest00164_py_47,Y,CRASH
benchmark-python,py_unsafe_deserialization_testcode_BenchmarkTest00270_py_41,Y,CRASH
benchmark-python,py_unsafe_deserialization_testcode_BenchmarkTest00507_py_55,Y,CRASH
benchmark-python,py_url_redirection_testcode_BenchmarkTest00067_py_47,Y,CRASH
benchmark-python,py_url_redirection_testcode_BenchmarkTest00068_py_49,Y,CRASH
benchmark-python,py_url_redirection_testcode_BenchmarkTest00151_py_64,Y,CRASH
benchmark-python,py_url_redirection_testcode_BenchmarkTest00258_py_40,Y,CRASH
